id,title,doi,publication_year,type,cited_by_count,authors,host_venue,publisher,concepts
https://openalex.org/W1974626876,"Oral health knowledge, attitude and practices of parents attending Prince of Songkla University dental hospital",https://doi.org/10.1080/14635240.2007.10708115,2007,article,21,"Suttatip Kamolmatyakul, S Saiong",,,"Medicine, Family medicine, Oral health, Dentistry, Tooth brushing, Teething, Pediatrics, Toothbrush, Brush, Electrical engineering, Engineering"
https://openalex.org/W2189106925,Application of quality function deployment for designing and developing a curriculum for Industrial Engineering at Prince of Songkla University,,2008,article,19,"Nirachara Boonyanuwat, Sakesun Suthummanon, Napisporn Memongkol, Supapan Chaiprapat",,,"Quality function deployment, Curriculum, Software deployment, Quality (philosophy), Function (biology), Engineering management, Computer science, Manufacturing engineering, Engineering, Software engineering, Psychology, Pedagogy, Chemical engineering, Compatibility (geochemistry), Biology, Philosophy, Evolutionary biology, Epistemology"
https://openalex.org/W3034820487,"Sleep Quality and Burnout Syndrome among Residents in Training at the Faculty of Medicine, Prince of Songkla University",https://doi.org/10.33192/smj.2020.41,2020,article,18,Thirapath Chatlaong,,,"Bedroom, Pittsburgh Sleep Quality Index, Logistic regression, Medicine, Burnout, Descriptive statistics, Sleep (system call), Physical therapy, Sleep quality, Psychology, Clinical psychology, Psychiatry, Insomnia, Internal medicine, Statistics, Civil engineering, Mathematics, Computer science, Engineering, Operating system"
https://openalex.org/W941595895,Mental health and associated factors in Prince of Songkla University medical student,,2010,article,8,"Waracha Kunadison, Jarurin Pitanupong",,,"Mental health, General Health Questionnaire, Logistic regression, Family medicine, Medicine, Test (biology), Chi-square test, Psychology, Medical education, Psychiatry, Internal medicine, Paleontology, Biology, Statistics, Mathematics"
https://openalex.org/W2769954858,Assessment of Wind Energy Potential in Prince of Songkla University (South Part of Thailand): Hatyai campus,https://doi.org/10.1016/j.egypro.2017.10.204,2017,article,11,"Sathiti Luankaeo, Yutthana Tirawanichakul",,,"Wind speed, Environmental science, Meteorology, Wind power, Maximum sustained wind, Weibull distribution, Wind direction, Wind gradient, Geography, Engineering, Mathematics, Statistics, Electrical engineering"
https://openalex.org/W2291953351,Factors affecting the scholastic achievement of Prince of Songkla University students from private schools with Islam instruction in the three southern border provinces,https://doi.org/10.1016/j.kjss.2016.01.001,2016,article,10,"Chidchanok Churngchow, Withada Sinprajukpol",,,"Government (linguistics), Remedial education, Academic achievement, Mathematics education, Islam, Christian ministry, Psychology, Coaching, Turkish, Medical education, Political science, Medicine, Theology, Law, Philosophy, Linguistics, Psychotherapist"
https://openalex.org/W1483894376,"Effect of the Prince of Songkla University Locked-Upright Position on the Duration, Pain and Comfort of Second-Stage Labor in Primiparous Women",,2010,article,9,"Sasitorn Phumdoung, Saranpak Morkruengsai, Sahium Tachapattarakul, Jitti Lawantrakul, Pattama Junsuwan",,,"Medicine, Lithotomy position, Supine position, Anesthesia, Physical therapy, Pathology, Alternative medicine"
https://openalex.org/W2074217730,"Biomass gasification research and field developments by the Prince of Songkla University, Thailand",https://doi.org/10.1016/0144-4565(89)90036-x,1989,article,7,N. Coovattanachai,,,"Biomass (ecology), Environmental science, Biomass gasification, Charcoal, Waste management, Economic feasibility, Process engineering, Biofuel, Agricultural engineering, Engineering, Environmental economics, Agronomy, Chemistry, Organic chemistry, Economics, Biology"
https://openalex.org/W2187081574,"Attitudes towards Thai, Patani Malay, and English of Thai Undergraduates: A Case Study at Prince of Songkla University Pattani Campus, Thailand",https://doi.org/10.1016/j.sbspro.2015.11.200,2015,article,7,"Warinthip Kaenin Sisamouth, Salasiah Che Lah",,,"Malay, Interview, Psychology, Medical education, Mathematics education, Political science, Linguistics, Medicine, Law, Philosophy"
https://openalex.org/W2113033814,"Integrating Facebook Social Network for the Statistics Course: Its Outcomes of Undergraduate Students’ Prince of Songkla University Pattani Campus, Thailand",https://doi.org/10.5539/ass.v10n6p212,2014,article,6,Afifi Lateh,,,"Psychology, Social network (sociolinguistics), Medical education, Test (biology), Mathematics education, Academic year, Social media, Computer science, World Wide Web, Medicine, Paleontology, Biology"
